k,sample,time,theta_0,theta_1,theta_2,theta_3
1,26,177.50091314315796,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,27,146.2647750377655,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05
1,28,233.01115131378174,0.26969435811042786,0.9998999834060669,0.9476889967918396,9.999999747378752e-05
2,1,194.8393371105194,0.9998999834060669,0.5261182188987732,0.5261180400848389,9.999999747378752e-05
2,2,198.9002993106842,0.9998999834060669,0.7278919219970703,0.676779568195343,9.999999747378752e-05
2,3,202.3256402015686,0.9998999834060669,0.8317404389381409,0.49550628662109375,9.999999747378752e-05
2,4,210.3370156288147,0.9998999834060669,0.9998999834060669,0.7332169413566589,9.999999747378752e-05
2,5,193.46749114990234,0.9998999834060669,0.9998999834060669,0.23179341852664948,9.999999747378752e-05
2,6,229.92780017852783,0.5435172915458679,0.9962251782417297,0.33973589539527893,9.999999747378752e-05
2,7,195.0865159034729,0.9998999834060669,0.6392717957496643,0.7025293707847595,9.999999747378752e-05
2,8,245.77392625808716,0.8850138783454895,0.9998999834060669,0.2712935209274292,9.999999747378752e-05
2,9,195.03234577178955,0.9998999834060669,0.842578649520874,0.5085175037384033,9.999999747378752e-05
2,10,173.56488347053528,0.9998999834060669,0.3957623243331909,0.4185124337673187,9.999999747378752e-05
2,11,172.93821597099304,0.9998999834060669,0.6020557880401611,9.999999747378752e-05,0.2716946005821228
2,12,192.79412961006165,0.9998999834060669,0.23396669328212738,0.9998999834060669,9.999999747378752e-05
2,13,197.19429183006287,0.9998999834060669,0.9998999834060669,0.25651633739471436,9.999999747378752e-05
2,14,198.46647691726685,0.9998999834060669,0.9998999834060669,0.2233504056930542,9.999999747378752e-05
2,15,174.50102162361145,0.9998999834060669,0.9557281732559204,9.999999747378752e-05,9.999999747378752e-05
2,16,201.52132058143616,0.9998999834060669,0.48655974864959717,0.9998999834060669,9.999999747378752e-05
2,17,197.48390769958496,0.9998999834060669,0.9998999834060669,0.48488086462020874,9.999999747378752e-05
2,18,234.40034747123718,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
2,19,188.8375391960144,0.9998999834060669,0.5399912595748901,0.5399906635284424,9.999999747378752e-05
2,20,206.091703414917,0.9998999834060669,0.9998999834060669,0.4778763949871063,9.999999747378752e-05
2,21,197.88498210906982,0.9998999834060669,0.8510460257530212,0.5204964280128479,9.999999747378752e-05
3,1,215.5393693447113,0.9998999834060669,0.4929916560649872,0.7012431025505066,9.999999747378752e-05
3,2,218.30293130874634,0.9998999834060669,0.7281036972999573,0.545404851436615,9.999999747378752e-05
3,3,220.23648691177368,0.9998999834060669,0.669842541217804,0.6120456457138062,9.999999747378752e-05
3,4,218.363436460495,0.9948134422302246,0.5559104084968567,0.7770006060600281,0.0464620515704155
3,5,222.95981192588806,0.9998999834060669,0.7130515575408936,0.6605026721954346,9.999999747378752e-05
3,6,224.721342086792,0.9998999834060669,0.6366986632347107,0.9998999834060669,9.999999747378752e-05
3,7,224.0091359615326,0.9998999834060669,0.7356934547424316,0.8037095665931702,9.999999747378752e-05
3,8,210.07173085212708,0.9998999834060669,0.5452019572257996,0.6933821439743042,0.20792065560817719
3,9,218.72024154663086,0.9998999834060669,0.5409669876098633,0.6513952016830444,9.999999747378752e-05
3,10,218.330664396286,0.9998999834060669,0.6845331192016602,0.5709194540977478,9.999999747378752e-05
3,11,218.7692391872406,0.9998999834060669,0.3872883915901184,0.8051468133926392,9.999999747378752e-05
3,12,229.000812292099,0.9998999834060669,0.9998999834060669,0.4522635340690613,9.999999747378752e-05
3,13,226.10749650001526,0.8819141387939453,0.9998999834060669,0.5508872866630554,9.999999747378752e-05
3,14,236.90223503112793,0.45877689123153687,0.7876231670379639,0.8313480019569397,9.999999747378752e-05
3,15,221.2543122768402,0.9998999834060669,0.7697899341583252,0.47639769315719604,9.999999747378752e-05
